,chord pairs,count
0,"['F:7', 'A#']",367
1,"['Bb:7', 'G:min']",328
2,"['Bb:7', 'D#']",302
3,"['F:7', 'G:min']",286
4,"['F:7', 'A#:min']",252
5,"['F:7', 'C:min']",246
6,"['Bb:7', 'F:min']",242
7,"['N', 'A#:min']",227
8,"['Eb:7', 'A#']",226
9,"['F:7', 'D#']",217
10,"['C:min7', 'A#']",216
11,"['N', 'A#']",203
12,"['F:7', 'D:min']",191
13,"['C:min7', 'G:min']",188
14,"['Eb:7', 'A#:min']",179
15,"['Bb:7', 'C:min']",178
16,"['F:7', 'F:min']",174
17,"['Eb:7', 'G:min']",149
18,"['Bb:7', 'A#:min']",148
19,"['N', 'F:min']",144
