,chord pairs,count
0,"['N', 'A#:min']",129
1,"['Bb:7', 'F:min']",126
2,"['N', 'A#']",116
3,"['Bb:7', 'G:min']",114
4,"['N', 'F:min']",109
5,"['F:7', 'A#']",105
6,"['D:7', 'G']",95
7,"['Eb:7', 'C:min']",95
8,"['Eb:7', 'A#']",94
9,"['F:7', 'G:min']",93
10,"['Eb:7', 'A#:min']",90
11,"['F:7', 'D:min']",89
12,"['Bb:7', 'C:min']",85
13,"['Bb:7', 'D#']",84
14,"['G:(3,5,b7,b9)', 'F:min']",83
15,"['N', 'D']",82
16,"['N', 'C:min']",79
17,"['Eb:7', 'G:min']",79
18,"['F:7', 'A#:min']",78
19,"['N', 'D#:min']",77
