,chord pairs,count
0,"['F:7', 'A#']",262
1,"['Bb:7', 'D#']",218
2,"['Bb:7', 'G:min']",214
3,"['F:7', 'G:min']",193
4,"['F:7', 'C:min']",177
5,"['F:7', 'A#:min']",174
6,"['F:7', 'D#']",151
7,"['C:min7', 'A#']",148
8,"['Eb:7', 'A#']",132
9,"['F:7', 'F:min']",131
10,"['C:min7', 'G:min']",119
11,"['Bb:7', 'F:min']",116
12,"['F:7', 'D:min']",102
13,"['Bb:7', 'A#:min']",102
14,"['G:7', 'G:min']",102
15,"['N', 'A#:min']",98
16,"['Bb:7', 'C:min']",93
17,"['G:7', 'A#']",92
18,"['Eb:7', 'A#:min']",89
19,"['N', 'A#']",87
