,chord pairs,count
0,"['Bb:7', 'G:min']",169
1,"['F:7', 'C:min']",160
2,"['F:7', 'A#']",146
3,"['F:7', 'A#:min']",136
4,"['F:7', 'G:min']",131
5,"['F:7', 'F:min']",103
6,"['F:7', 'D:min']",98
7,"['Bb:7', 'G#']",95
8,"['Eb:7', 'A#']",94
9,"['C:min7', 'G:min']",93
10,"['Bb:7', 'A#:min']",93
11,"['F:7', 'C']",92
12,"['F:7', 'G#']",90
13,"['Bb:7', 'C:min']",89
14,"['Bb:7', 'F:min']",88
15,"['F:7', 'F#:min']",85
16,"['Bb:7', 'F']",84
17,"['G:7', 'G:min']",84
18,"['Eb:7', 'A#:min']",72
19,"['C:min7', 'A#']",72
