,chord pairs,count
0,"['F:7', 'A#']",227
1,"['Eb:7', 'G#']",219
2,"['Bb:7', 'F:min']",213
3,"['Bb:7', 'D#']",192
4,"['C:7', 'F']",185
5,"['Eb:7', 'A#:min']",160
6,"['Bb:7', 'A#:min']",158
7,"['Ab:7', 'C#']",157
8,"['Ab', 'F:min']",146
9,"['C:7', 'G:min']",128
10,"['Bb:7', 'G#']",127
11,"['Eb:7', 'C:min']",126
12,"['F', 'D:min']",121
13,"['N', 'A#:min']",117
14,"['N', 'A#']",114
15,"['Bb:7', 'G:min']",112
16,"['Bb:7', 'C#']",112
17,"['N', 'F']",110
18,"['F:7', 'A#:min']",109
19,"['F:7', 'D:min']",109
