,chord pairs,count
0,"['Bb:7', 'F:min']",458
1,"['Bb:7', 'G:min']",452
2,"['F:7', 'A#']",340
3,"['F:7', 'C:min']",334
4,"['Bb:7', 'G#']",326
5,"['Eb:7', 'A#:min']",318
6,"['Eb:7', 'C:min']",287
7,"['Bb:7', 'A#:min']",278
8,"['Bb:7', 'D#']",276
9,"['Eb:7', 'G#']",274
10,"['F:7', 'D:min']",270
11,"['F:7', 'A#:min']",263
12,"['F:7', 'G:min']",254
13,"['F:7', 'F:min']",249
14,"['Bb:7', 'C:min']",248
15,"['Eb:7', 'A#']",234
16,"['Eb:7', 'F:min']",222
17,"['Bb:7', 'F']",219
18,"['Eb:7', 'G:min']",217
19,"['N', 'A#:min']",216
