,chord pairs,count
0,"['F:7', 'A#']",572
1,"['Bb:7', 'D#']",531
2,"['Bb:7', 'F:min']",472
3,"['Bb:7', 'G:min']",455
4,"['F:7', 'A#:min']",354
5,"['F:7', 'G:min']",348
6,"['N', 'A#:min']",344
7,"['Eb:7', 'A#:min']",339
8,"['Bb:7', 'A#:min']",324
9,"['N', 'A#']",321
10,"['F:7', 'C:min']",309
11,"['F:7', 'D:min']",297
12,"['F:7', 'D#']",296
13,"['Eb:7', 'G#']",295
14,"['Eb:7', 'A#']",285
15,"['Eb:7', 'C:min']",263
16,"['Ab:7', 'C#']",262
17,"['F:7', 'F:min']",260
18,"['N', 'F:min']",259
19,"['C:min7', 'A#']",251
